source,destination,bitrate
11,19,50
25,6,400
31,18,50
3,10,200
21,25,100
5,17,200
16,0,400
11,31,50
9,28,50
34,28,200
19,7,50
31,17,100
12,7,100
1,6,50
6,0,50
22,21,100
11,9,100
23,12,50
4,10,200
32,10,400
14,18,400
2,6,50
25,5,400
6,25,200
10,12,50
33,0,400
2,17,400
0,8,400
9,6,400
5,1,50
20,17,200
6,22,200
23,33,50
6,14,400
23,2,200
27,14,400
5,20,100
3,29,100
35,5,200
20,0,400
19,36,50
26,24,400
16,8,400
15,26,400
9,4,200
29,7,400
30,20,50
23,2,100
26,32,100
22,18,200
4,12,200
10,16,200
15,2,50
4,16,200
20,15,100
8,11,200
24,16,200
22,11,400
26,12,200
3,25,100
28,36,100
24,30,50
29,20,100
27,33,400
34,6,400
13,6,50
13,33,50
35,26,50
27,21,200
8,25,50
13,12,200
33,29,200
2,24,100
15,32,200
21,12,400
12,31,50
11,16,50
1,23,400
4,10,100
15,32,200
17,1,100
30,11,100
19,11,50
21,13,100
35,4,200
7,9,400
9,29,400
22,28,50
11,18,50
23,20,400
2,9,200
8,1,100
1,30,50
11,23,400
29,18,200
31,15,50
1,31,200
25,27,50
18,7,100
32,13,200
13,25,100
26,0,50
22,32,200
4,3,100
17,16,100
28,24,200
16,7,200
31,8,50
31,34,100
34,23,400
28,33,50
11,1,400
22,6,400
10,0,400
11,35,100
18,10,50
23,26,200
32,33,100
36,30,50
11,36,400
17,20,400
10,1,100
10,24,400
3,6,50
4,0,200
4,28,100
5,30,400
34,24,50
20,3,200
19,13,50
2,22,400
33,10,200
28,18,200
15,27,200
0,5,400
32,9,100
15,8,400
28,25,50
34,27,200
9,10,100
14,33,50
32,26,200
29,30,100
18,36,200
16,2,50
13,14,200
16,5,200
36,17,200
15,24,100
29,4,200
18,19,200
36,8,100
2,13,200
33,1,50
16,30,400
15,7,100
14,34,200
13,31,400
5,4,200
31,27,200
28,23,100
14,20,200
4,20,400
20,1,50
22,18,100
34,6,200
7,19,400
7,6,200
3,23,400
26,16,400
13,23,400
2,29,50
18,4,100
14,32,50
24,28,400
18,14,200
11,32,200
4,14,400
14,5,100
22,5,50
21,22,400
10,14,400
36,6,200
0,1,100
17,35,100
13,33,200
36,2,200
18,23,50
2,33,100
14,19,400
30,29,200
12,27,200
15,14,50
16,33,50
1,13,400
16,13,200
2,13,400
21,10,100
23,4,50
10,31,50
18,15,100
14,35,100
5,23,50
27,30,50
12,5,200
36,5,50
4,33,50
34,21,100
9,14,100
2,9,200
20,36,200
10,15,100
26,4,100
17,10,50
35,29,400
1,4,50
16,35,50
6,22,400
16,31,100
21,33,100
16,6,50
15,23,400
8,2,50
32,36,400
14,26,200
16,3,100
3,35,400
27,5,400
32,27,50
14,16,400
0,19,200
32,0,400
17,23,50
30,0,50
18,25,400
7,30,200
2,13,400
36,15,50
15,11,400
6,35,200
23,7,200
33,28,200
11,17,400
32,9,400
35,24,100
34,35,50
17,21,50
18,29,50
29,30,100
23,19,200
30,2,50
3,25,200
0,5,200
3,12,100
27,13,50
6,15,50
19,26,200
26,8,50
10,15,100
31,32,50
26,8,50
2,9,400
29,16,200
24,21,200
9,34,200
19,15,200
13,24,50
32,20,50
32,23,50
5,7,50
1,20,50
1,35,400
32,33,400
0,7,50
33,25,100
30,23,100
2,8,200
21,17,100
24,3,100
33,6,400
1,22,200
4,19,50
26,8,200
35,26,200
13,0,200
10,4,50
21,8,50
15,5,100
21,30,100
6,5,200
6,16,200
13,8,200
30,6,50
2,3,400
25,12,100
29,31,400
1,21,50
9,30,400
28,27,400
24,3,50
12,6,50
22,6,100
2,31,100
20,36,200
19,28,400
32,31,50
14,0,400
34,3,50
4,12,50
17,20,50
26,11,200
32,19,200
28,22,200
33,32,50
29,26,400
22,1,200
21,2,400
25,30,400
21,2,400
11,33,100
30,13,100
4,1,400
25,34,400
9,4,100
28,32,200
10,33,200
26,35,400
13,10,400
17,35,100
4,36,200
34,25,200
24,36,400
30,10,200
15,7,100
3,9,50
28,0,200
18,10,400
6,30,200
5,23,50
30,24,400
11,28,100
30,7,400
30,1,50
35,8,400
19,26,200
27,34,50
10,23,50
21,7,100
23,25,200
24,2,50
19,13,200
28,24,50
28,5,200
28,13,100
29,24,100
17,9,50
22,30,200
13,15,200
29,35,400
33,4,200
9,8,200
1,5,400
31,0,400
20,0,100
6,27,200
36,29,100
18,34,200
0,18,200
31,30,400
28,19,100
19,33,200
5,10,50
13,12,400
0,10,400
20,34,400
22,13,200
3,4,50
3,0,200
19,31,200
18,27,100
25,31,200
30,13,100
20,3,400
9,29,50
23,8,50
14,10,200
9,0,50
28,18,400
6,25,200
10,30,50
7,28,400
10,18,200
36,7,50
20,26,50
28,34,50
25,24,50
19,35,50
25,9,50
23,13,50
31,32,200
14,20,50
12,6,200
11,31,50
28,32,400
1,21,200
30,13,50
24,5,400
24,2,100
26,16,50
21,3,400
28,1,400
22,32,400
13,0,100
13,35,50
20,32,400
23,30,100
35,9,200
23,25,50
16,22,50
9,8,200
32,24,400
26,23,200
25,23,200
5,29,400
4,11,200
11,0,200
8,36,400
17,9,400
21,15,50
8,3,200
15,28,400
28,31,50
0,21,200
3,30,200
4,14,100
33,17,50
27,32,200
33,1,200
0,9,100
32,4,400
18,12,400
16,13,50
14,9,100
9,20,200
11,28,50
13,29,400
4,24,400
35,19,200
14,24,100
3,16,50
10,20,50
25,34,400
17,24,200
21,30,200
33,34,100
5,4,200
33,2,200
2,5,50
2,10,50
30,14,50
1,15,400
29,9,50
11,19,50
18,21,400
23,31,100
9,20,400
1,35,400
7,27,50
19,14,200
3,10,200
20,36,100
1,30,400
14,16,400
23,24,400
15,11,400
33,12,400
34,36,200
6,33,400
20,17,400
23,15,200
17,25,400
0,33,200
33,6,200
16,27,400
9,16,100
1,26,100
6,35,100
32,8,100
4,20,50
34,25,100
29,19,200
28,0,200
12,36,50
2,16,200
24,32,200
13,2,50
