source,destination,bitrate
15,27,50
35,9,400
42,25,50
4,14,200
29,35,100
7,24,200
21,0,400
15,42,50
12,38,50
46,38,200
26,9,50
42,23,100
17,10,100
1,8,50
9,1,50
30,28,100
15,12,100
31,16,50
6,14,200
44,14,400
20,25,400
3,9,50
34,7,400
8,34,200
13,17,50
45,0,400
3,23,400
0,11,400
12,8,400
7,1,50
28,23,200
8,31,200
32,45,50
8,20,400
31,3,200
36,19,400
7,27,100
4,39,100
48,7,200
28,1,400
26,49,50
36,32,400
22,11,400
21,36,400
12,5,200
39,10,400
41,28,50
32,3,100
35,43,100
30,25,200
6,16,200
14,22,200
21,3,50
5,22,200
28,20,100
10,15,200
33,22,200
30,15,400
35,16,200
4,34,100
39,37,100
33,41,50
40,27,100
36,45,400
47,8,400
18,8,50
17,45,50
47,35,50
37,29,200
11,34,50
18,17,200
46,39,200
3,33,100
20,44,200
29,17,400
17,42,50
16,21,50
2,31,400
5,14,100
21,44,200
24,1,100
41,15,100
25,16,50
29,18,100
47,6,200
10,12,400
13,40,400
30,37,50
15,25,50
32,27,400
2,12,200
11,2,100
1,41,50
15,32,400
40,25,200
43,20,50
1,42,200
34,37,50
24,9,100
44,17,200
18,34,100
36,0,50
31,44,200
5,4,100
24,22,100
38,32,200
22,10,200
42,11,50
42,46,100
46,32,400
38,46,50
15,2,400
30,9,400
13,0,400
15,48,100
25,14,50
31,35,200
43,45,100
48,40,50
15,48,400
24,27,400
14,1,100
14,33,400
4,8,50
5,0,200
5,37,100
8,41,400
47,33,50
27,5,200
27,18,50
4,30,400
45,14,200
38,24,200
20,36,200
0,8,400
44,13,100
20,11,400
39,34,50
47,37,200
12,14,100
19,44,50
44,35,200
39,40,100
25,49,200
23,3,50
18,20,200
22,6,200
49,23,200
20,32,100
40,6,200
24,26,200
49,11,100
3,18,200
45,2,50
22,41,400
20,9,100
20,46,200
18,42,400
7,5,200
42,37,200
38,31,100
19,27,200
5,27,400
27,2,50
30,24,100
46,8,200
9,26,400
10,8,200
4,32,400
36,22,400
18,31,400
2,39,50
25,6,100
19,44,50
33,38,400
24,19,200
15,43,200
5,19,400
20,6,100
31,7,50
29,30,400
13,19,400
49,8,200
0,1,100
24,48,100
18,46,200
49,2,200
24,31,50
3,45,100
19,26,400
40,39,200
17,37,200
21,20,50
22,45,50
2,18,400
22,18,200
3,18,400
29,14,100
31,6,50
14,43,50
24,21,100
19,47,100
7,31,50
37,40,50
16,7,200
49,7,50
6,45,50
46,29,100
12,19,100
2,12,200
27,28,200
13,20,100
36,5,100
24,14,50
48,39,400
2,5,50
22,48,50
8,31,400
21,43,100
28,45,100
22,9,50
20,31,400
11,2,50
44,49,400
20,35,200
22,5,100
4,48,400
37,7,400
44,37,50
19,22,400
0,26,200
44,0,400
23,32,50
40,0,50
24,35,400
9,40,200
3,18,400
20,21,50
21,16,400
8,48,200
32,10,200
44,38,200
15,23,400
43,12,400
47,33,100
46,48,50
23,29,50
24,39,50
40,41,100
31,26,200
41,2,50
5,34,200
1,7,200
4,16,100
36,18,50
8,21,50
25,35,200
36,10,50
14,21,100
42,44,50
36,12,50
4,13,400
39,22,200
32,29,200
12,46,200
26,21,200
18,33,50
44,27,50
44,32,50
7,10,50
2,28,50
1,48,400
43,45,400
0,10,50
45,35,100
41,32,100
3,11,200
28,23,100
32,4,100
44,8,400
1,30,200
6,25,50
35,12,200
47,35,200
18,0,200
13,6,50
29,11,50
21,6,100
28,41,100
8,7,200
8,22,200
18,11,200
41,8,50
3,4,400
34,17,100
40,43,400
2,28,50
12,41,400
39,36,400
32,4,50
16,8,50
30,8,100
3,43,100
28,49,200
26,37,400
44,42,50
19,0,400
46,4,50
6,16,50
23,27,50
36,14,200
44,25,200
38,30,200
45,44,50
40,36,400
29,1,200
28,3,400
34,41,400
29,3,400
15,45,100
41,17,100
6,1,400
33,47,400
13,5,100
38,44,200
13,45,200
35,48,400
18,14,400
23,47,100
5,49,200
46,34,200
33,49,400
41,14,200
21,10,100
4,13,50
38,0,200
25,13,400
8,41,200
7,31,50
40,32,400
15,38,100
40,10,400
41,2,50
48,10,400
26,36,200
37,46,50
14,31,50
29,9,100
31,34,200
33,4,50
25,18,200
38,33,50
38,7,200
39,18,100
40,33,100
23,12,50
30,41,200
17,21,200
