source,destination,bitrate
16,22,50
12,17,100
22,1,400
9,1,50
23,18,50
5,9,50
28,18,100
27,17,200
7,12,50
5,18,100
29,0,400
29,27,200
16,9,50
32,8,400
19,32,400
2,35,200
35,24,50
0,3,50
35,21,400
31,28,50
36,34,400
34,8,200
1,3,50
34,21,50
20,25,100
12,11,50
26,12,100
15,29,100
28,24,100
24,20,200
28,8,200
9,17,200
5,26,400
11,2,50
34,13,50
33,2,100
0,17,400
23,26,400
22,21,400
19,14,50
12,11,200
28,23,200
36,26,200
14,2,400
30,29,400
29,17,50
14,6,200
16,25,400
5,18,400
35,5,100
14,35,100
25,20,400
32,25,50
30,33,400
0,1,100
23,19,400
28,0,200
2,34,100
31,18,200
30,11,100
1,4,50
28,7,400
7,2,100
35,24,50
21,34,200
14,33,200
3,21,400
28,27,400
17,7,400
0,23,100
26,28,100
11,32,400
23,18,400
23,0,100
26,36,100
21,13,100
7,12,50
27,1,100
22,5,200
32,26,400
32,16,400
19,15,100
9,4,200
16,33,400
19,22,200
9,4,50
23,19,100
32,29,400
0,13,200
7,27,400
29,26,100
8,4,100
1,10,400
21,8,200
5,13,100
32,31,400
28,9,100
32,18,200
10,31,400
21,26,400
27,5,400
0,18,200
26,18,50
33,5,50
1,28,50
10,34,100
32,22,400
18,5,100
22,1,400
18,5,200
34,26,200
28,4,50
2,24,100
26,15,400
4,32,50
14,1,100
16,0,400
14,12,50
19,2,400
13,21,50
8,25,400
14,13,50
18,16,100
5,23,50
13,32,400
33,36,200
14,17,100
20,25,400
12,36,100
4,13,50
28,9,100
33,3,50
17,16,400
3,10,100
3,20,100
12,2,100
21,16,400
9,26,50
12,28,100
10,26,400
28,0,400
2,11,100
29,25,100
1,13,400
32,9,400
30,10,50
19,5,100
25,10,50
11,9,400
30,15,100
21,23,400
27,1,200
31,10,100
2,8,400
12,28,50
10,35,100
34,36,100
15,6,200
14,3,400
21,27,100
7,27,50
16,35,50
14,7,50
13,21,100
28,23,400
34,13,200
23,24,50
24,11,400
9,25,100
32,1,400
8,22,200
5,10,200
25,16,100
22,12,50
3,1,400
9,22,200
33,1,50
16,31,400
19,4,400
8,32,100
24,1,100
19,17,50
29,27,100
35,36,50
8,34,100
11,29,50
11,32,50
26,25,50
27,25,200
35,14,200
19,20,50
0,4,100
23,19,400
27,26,50
11,16,400
8,22,100
14,18,200
3,21,100
18,19,200
1,24,50
5,32,100
21,16,50
35,28,100
18,3,400
12,10,100
7,18,100
21,26,100
19,0,50
5,23,100
19,1,200
26,2,100
7,3,50
35,32,200
18,7,400
7,11,200
18,16,50
35,13,400
16,32,200
32,25,100
27,25,200
28,4,400
27,31,50
32,17,100
23,14,200
21,15,100
3,7,400
23,16,400
12,31,50
2,16,100
6,12,100
30,7,400
19,14,200
34,35,100
21,17,400
25,35,100
16,28,200
32,35,100
5,11,100
20,24,100
19,25,200
1,19,100
9,3,100
10,30,200
34,15,100
13,14,400
31,33,400
25,4,50
31,6,50
18,11,200
29,8,100
1,5,200
12,30,50
33,18,200
20,27,100
9,5,50
5,16,400
14,7,50
20,32,50
26,6,200
19,21,400
17,32,200
14,32,400
6,26,50
18,23,50
33,18,200
0,2,100
0,27,400
