source,destination,bitrate
12,46,200
38,25,200
10,31,50
26,43,50
29,11,50
40,30,100
10,15,200
20,45,50
39,27,400
16,13,50
17,0,50
34,45,100
48,9,200
16,26,400
35,47,200
22,38,200
8,25,200
10,7,400
28,30,400
3,44,50
47,30,50
37,30,400
35,21,400
7,28,50
2,48,400
34,26,400
18,22,200
20,34,50
37,24,400
11,15,200
35,23,50
29,18,50
15,18,50
34,5,50
49,30,100
47,19,50
9,10,50
9,29,50
15,21,100
19,47,400
26,17,100
22,17,400
32,4,200
13,48,400
38,19,50
2,48,50
47,35,400
2,42,400
1,21,100
20,44,50
23,36,100
6,5,200
27,26,50
21,0,400
20,2,200
10,37,100
44,41,200
4,25,400
4,34,200
16,18,400
37,29,50
39,14,100
48,15,200
32,35,50
25,8,200
41,9,50
35,27,200
27,20,400
19,11,200
49,8,200
46,45,200
27,33,100
17,5,400
17,24,100
34,36,400
33,25,200
35,3,50
5,7,400
19,6,100
25,30,50
36,19,50
8,5,200
0,11,400
43,39,100
32,17,100
12,9,50
49,44,100
18,37,50
27,2,200
30,24,50
16,22,50
25,36,400
37,6,100
43,30,400
19,46,50
13,40,200
1,45,100
49,42,200
11,21,100
48,33,200
21,37,100
8,49,200
9,13,200
6,13,50
38,11,200
34,32,400
26,5,50
4,34,50
4,37,400
1,48,50
34,40,50
26,28,200
42,34,100
17,45,50
15,36,50
25,46,50
11,5,200
11,45,200
26,38,100
30,44,100
3,7,100
44,40,100
22,44,400
2,36,100
26,12,400
24,29,400
10,1,100
46,44,100
3,41,400
48,34,400
22,13,400
44,13,100
6,37,200
18,4,50
22,43,200
18,22,100
39,11,200
43,38,400
8,33,100
44,28,200
10,44,200
9,5,200
24,19,50
20,23,200
11,1,50
44,36,400
35,15,100
7,15,50
21,28,100
4,29,400
9,13,100
26,43,400
40,36,50
16,21,200
34,13,200
44,24,50
15,40,50
14,29,400
48,21,400
47,9,200
29,44,200
19,14,400
32,12,50
38,12,50
29,15,100
34,3,100
47,44,200
8,42,50
13,18,200
19,12,100
28,9,200
30,3,50
13,11,200
28,37,400
2,18,100
19,11,50
19,22,200
43,8,200
18,35,400
3,36,50
17,22,100
9,0,50
36,45,200
24,4,400
19,6,400
49,21,200
22,21,50
27,25,100
17,46,200
20,41,200
5,43,200
19,28,200
29,0,200
28,25,50
41,40,400
34,7,50
39,30,100
6,30,200
7,12,200
14,36,100
49,17,200
44,33,200
20,26,400
24,7,50
48,49,400
22,27,100
42,22,100
5,18,50
36,20,400
16,6,100
43,17,100
44,39,200
19,48,50
22,8,50
25,48,400
5,7,50
6,28,200
36,31,200
31,28,200
26,43,100
2,33,400
15,34,200
7,13,100
29,12,200
31,9,50
34,44,400
47,17,100
13,18,400
36,24,100
27,19,100
32,20,400
23,6,200
34,36,400
22,11,200
30,32,400
24,0,50
34,9,50
34,5,400
33,45,400
44,7,200
20,33,200
39,40,200
43,9,400
12,30,400
31,33,100
47,35,100
44,11,50
41,0,50
33,35,400
29,47,50
5,19,200
11,16,400
17,41,200
37,16,50
47,12,200
37,13,200
45,19,50
14,45,100
2,15,400
11,32,200
8,21,50
39,7,400
16,25,100
24,41,50
42,40,50
33,14,50
16,37,100
25,18,50
9,39,400
48,5,50
9,19,200
5,49,100
36,33,400
49,46,100
30,9,400
37,3,200
4,25,200
3,9,200
32,35,100
2,27,50
18,1,400
0,28,400
11,44,50
9,24,50
31,2,400
5,10,100
22,38,200
35,49,400
6,3,50
9,14,100
37,34,400
15,47,50
34,6,200
36,8,400
47,6,50
40,38,200
36,11,50
42,31,100
20,25,100
12,37,200
32,4,50
27,6,50
13,11,100
39,23,50
37,21,100
3,8,100
37,9,200
44,2,400
49,20,100
0,4,200
32,10,400
11,10,200
13,18,100
9,44,200
24,5,50
5,29,100
31,29,400
6,26,400
39,28,200
19,47,50
23,15,200
25,3,400
36,16,400
23,39,100
37,30,400
41,21,50
23,3,200
32,39,400
25,24,100
42,12,400
45,48,400
29,16,200
20,35,200
23,3,400
48,35,50
33,5,100
21,20,200
5,21,400
26,23,100
19,36,400
15,6,200
44,6,100
25,31,400
18,5,50
29,35,400
9,29,50
28,25,100
42,25,400
45,1,400
20,21,200
37,13,100
15,19,200
22,33,50
45,13,50
41,3,50
1,28,100
20,19,50
44,2,400
42,19,100
8,44,50
11,44,50
33,19,400
37,46,400
31,17,200
30,35,200
9,3,400
14,47,200
0,16,50
23,25,200
29,8,400
32,0,200
37,13,400
19,10,400
3,29,50
45,3,400
16,38,50
36,28,200
31,45,200
47,31,100
34,13,400
22,38,200
8,35,100
16,41,200
28,7,200
47,25,100
28,42,50
15,41,200
34,18,400
35,21,50
6,23,400
15,36,50
6,40,200
33,1,400
34,0,100
36,46,100
42,40,200
6,42,100
37,31,200
49,37,50
8,28,200
7,45,200
12,48,200
9,10,100
5,29,100
2,26,100
16,47,200
28,40,200
6,42,100
21,19,400
43,45,50
30,22,100
41,48,200
37,25,400
45,6,100
23,41,50
27,8,400
26,37,400
36,23,100
14,6,100
11,43,100
34,40,400
41,7,200
27,46,100
17,40,100
26,37,50
33,18,100
4,47,100
31,18,50
12,2,100
40,26,200
29,4,100
47,10,100
8,1,100
18,31,400
32,11,200
14,23,200
41,44,50
34,36,100
24,12,200
31,9,50
40,22,50
13,9,100
22,1,100
9,24,200
32,38,200
47,48,200
3,13,400
25,32,50
1,35,400
13,22,50
42,19,100
12,35,100
9,32,100
35,7,100
37,38,200
17,29,50
21,8,100
45,43,200
38,13,200
12,29,400
22,26,100
34,35,200
5,29,100
40,17,400
7,46,200
35,6,100
39,11,200
4,37,50
25,9,400
45,32,200
38,11,400
43,37,100
27,3,50
0,1,400
0,37,100
29,47,50
17,8,100
14,48,100
20,45,50
15,16,200
0,3,100
46,16,100
45,38,400
6,16,100
40,24,50
4,13,400
34,2,50
26,19,100
42,15,200
3,35,400
32,31,400
21,18,200
7,0,100
12,33,100
21,32,50
18,14,400
22,44,50
20,41,50
3,32,100
20,47,200
19,46,50
45,10,100
29,31,100
32,42,50
8,24,400
14,40,100
43,4,50
13,45,400
46,17,50
41,36,50
14,48,50
40,16,200
41,36,200
41,27,100
18,9,200
21,2,200
14,40,100
28,21,100
41,23,200
23,4,400
25,40,50
27,31,200
38,20,50
6,12,200
35,8,50
33,25,400
1,13,400
30,7,200
6,13,200
35,44,200
17,14,400
43,33,50
11,25,50
5,31,400
11,38,50
40,13,200
48,27,100
4,23,200
36,1,400
19,15,200
38,29,400
3,28,400
17,4,400
13,11,200
37,23,400
35,27,200
47,9,200
34,16,50
47,21,400
21,26,50
1,11,200
31,33,400
45,42,400
45,29,400
40,39,50
24,11,400
3,29,100
42,27,400
7,45,50
13,21,200
6,1,400
48,4,50
36,19,400
4,22,50
44,13,400
2,13,400
43,10,200
44,48,50
3,47,200
20,8,400
19,30,100
2,41,400
43,5,200
18,46,100
11,21,400
20,3,50
42,5,400
32,28,50
