source,destination,bitrate
31,16,100
11,14,50
3,18,400
15,29,400
10,11,50
9,22,200
8,4,400
14,10,50
29,10,50
13,24,400
9,11,50
0,25,100
0,15,50
30,29,100
6,31,200
33,16,400
18,25,200
30,29,100
26,29,100
36,20,400
11,32,400
18,7,100
11,16,50
25,32,50
29,35,200
24,31,50
36,5,400
7,17,400
28,12,400
22,0,50
35,34,50
24,27,400
21,26,200
36,8,100
11,33,400
29,6,50
3,8,200
10,28,400
6,20,100
13,24,200
19,28,100
19,27,200
3,34,200
26,10,50
5,28,50
0,31,400
35,5,50
35,26,50
35,8,50
30,14,200
25,9,100
14,15,100
36,33,100
23,26,50
33,11,200
13,11,200
19,20,50
30,31,100
20,18,200
21,5,400
35,8,50
15,13,50
0,8,50
22,30,400
23,20,400
5,20,400
24,20,100
26,12,400
26,12,400
9,15,200
8,12,50
36,16,50
22,27,400
34,25,100
12,4,400
26,15,200
11,36,400
22,8,400
18,23,400
23,9,50
24,27,400
9,6,100
1,8,200
4,35,100
6,29,200
35,19,400
14,4,50
23,36,100
10,15,400
3,24,400
0,10,50
28,10,50
13,32,50
9,10,200
16,25,100
5,19,200
2,11,100
18,13,50
34,30,400
31,33,50
31,26,100
33,30,100
26,10,200
24,33,100
33,6,50
26,27,100
8,15,200
33,8,200
2,27,400
13,10,50
22,29,200
16,26,50
27,11,400
29,10,200
1,6,200
11,33,400
9,7,200
2,29,50
29,31,400
15,35,400
2,11,200
36,25,400
14,1,200
34,14,50
12,34,100
8,20,50
19,34,100
12,2,200
15,16,200
5,13,50
28,25,200
19,6,400
27,5,100
13,36,100
14,34,200
14,12,50
9,8,100
22,15,100
27,1,400
16,11,400
34,12,400
12,26,100
16,4,50
22,2,200
3,5,200
17,25,400
26,36,100
32,6,50
27,11,200
28,0,400
12,33,50
2,8,400
0,4,50
8,34,50
10,13,100
1,35,100
11,15,400
29,30,200
1,18,200
30,32,400
3,0,50
35,7,200
0,16,400
27,31,400
29,10,400
12,33,50
15,19,400
26,16,400
14,26,100
27,34,400
23,14,200
5,10,100
24,23,50
5,6,400
26,35,200
20,5,200
0,18,200
36,7,400
5,7,50
17,26,50
22,7,50
8,16,400
4,29,400
30,19,50
16,4,50
12,7,50
19,22,50
36,18,400
13,24,50
17,28,400
16,20,50
28,18,200
23,4,100
5,6,200
17,6,400
28,36,50
16,35,50
31,13,400
3,25,400
32,17,100
33,4,200
34,24,50
8,33,400
12,0,100
33,2,400
2,36,200
11,22,50
15,10,200
13,25,50
17,13,200
30,22,400
1,33,200
30,27,200
21,13,100
34,3,50
20,9,400
24,31,50
5,10,100
25,10,400
30,0,100
6,32,400
28,19,200
5,7,100
17,25,50
8,25,400
0,33,50
33,13,400
6,5,50
6,20,50
34,36,200
10,15,50
16,30,50
16,32,50
22,2,100
34,22,100
28,2,100
4,9,200
26,9,100
9,2,400
14,24,400
32,23,100
