source,destination,bitrate
14,3,50
7,37,200
22,39,400
24,46,50
16,2,200
24,15,200
14,35,50
1,13,200
41,12,400
39,10,400
13,42,50
49,5,400
10,40,50
24,15,200
25,9,400
10,36,50
1,40,200
28,18,400
40,25,400
28,48,100
27,6,100
15,6,100
39,12,200
29,11,50
31,15,100
43,1,400
36,4,200
19,20,400
21,44,200
28,30,100
33,43,200
17,6,50
31,6,100
23,11,100
34,20,50
15,49,100
16,20,50
28,20,200
8,14,50
20,14,400
45,30,100
17,25,200
28,18,100
11,36,200
20,44,100
6,24,200
33,9,50
13,27,50
46,31,100
38,47,400
35,36,50
36,7,200
43,27,400
14,9,200
30,27,50
30,5,100
42,41,50
30,18,200
4,31,100
14,35,100
7,31,100
6,15,50
16,48,50
39,43,400
5,0,100
10,21,100
30,28,200
46,8,400
24,3,100
37,46,400
12,44,400
24,26,200
30,11,100
49,37,200
21,22,100
32,27,50
19,2,200
45,47,200
40,38,50
27,43,200
45,33,200
40,6,50
2,48,100
15,45,200
22,41,50
21,5,200
32,47,100
33,1,200
7,22,50
8,49,400
5,39,200
24,12,400
36,16,100
33,28,50
27,11,400
18,8,400
27,19,400
19,7,100
32,36,100
4,31,200
41,47,400
28,20,400
46,15,100
35,41,400
15,30,400
33,41,50
9,40,200
47,3,100
11,40,200
39,4,400
37,13,400
11,26,100
23,18,100
3,39,200
47,13,100
7,6,100
13,24,100
18,48,100
46,24,400
30,2,400
42,34,50
43,48,100
47,41,400
23,35,100
30,21,50
45,21,100
8,34,400
10,9,50
43,22,200
43,23,200
16,38,100
8,49,200
19,29,400
14,42,50
22,5,50
0,19,400
44,10,50
37,20,200
41,33,100
3,49,400
29,6,50
12,25,400
10,3,50
36,30,200
6,30,200
26,20,200
42,13,200
5,10,200
12,23,200
11,5,50
13,5,200
46,43,400
49,14,50
15,47,50
27,36,100
37,42,100
21,2,200
46,2,50
16,19,400
37,12,50
12,14,200
32,4,50
25,1,200
37,19,400
38,49,50
35,12,50
14,18,200
37,23,400
27,43,400
22,15,50
13,42,400
26,38,100
35,40,100
36,17,400
18,23,200
28,17,100
4,40,100
24,22,400
32,43,50
12,34,200
22,17,400
29,32,200
12,46,50
6,23,200
46,3,50
48,44,200
30,14,50
39,7,400
7,29,100
32,30,100
46,12,400
36,11,400
36,26,100
44,37,200
15,18,50
30,31,200
43,42,50
25,19,400
43,35,100
7,25,400
3,14,100
24,17,100
7,26,100
30,7,400
34,21,400
2,11,100
22,26,50
13,47,100
2,18,50
9,14,50
34,1,100
31,47,200
6,9,50
15,6,400
45,19,400
15,46,50
8,21,200
12,16,50
6,38,200
37,10,100
12,41,100
31,29,400
2,38,50
40,3,400
22,45,100
4,44,400
46,11,100
7,14,50
13,11,100
12,19,50
10,9,400
12,13,200
21,28,400
0,11,50
22,7,50
26,41,200
47,42,200
40,26,200
