source,destination,bitrate
32,4,50
6,22,100
18,22,100
25,34,100
6,14,200
5,31,100
31,0,400
33,2,400
24,21,100
17,5,50
2,33,50
9,26,400
19,2,100
1,32,200
2,13,400
15,11,50
27,36,50
6,29,400
16,30,400
5,10,200
11,2,400
2,11,400
9,30,200
10,4,100
24,5,100
16,27,200
10,35,50
5,27,400
29,5,100
5,6,200
0,23,100
11,13,100
7,28,100
7,8,50
32,26,400
3,6,400
25,5,50
20,16,400
16,9,400
21,6,100
3,30,100
12,35,50
17,27,200
24,0,400
0,33,400
25,5,50
9,2,100
10,23,50
2,16,200
5,13,400
25,20,50
23,29,50
18,36,100
5,30,100
16,6,400
1,23,50
5,11,50
33,17,50
2,16,200
15,28,100
27,9,400
11,34,400
29,27,200
9,0,400
34,27,50
33,17,400
17,28,200
6,25,400
34,18,50
36,18,400
35,12,400
21,7,100
22,0,100
1,31,50
2,36,100
6,14,50
36,7,200
18,0,200
10,9,100
30,15,50
33,24,400
14,1,50
8,11,200
27,3,400
16,30,200
28,29,100
14,26,100
27,4,100
15,7,100
27,20,100
23,12,400
34,32,50
5,13,100
7,15,100
29,21,100
33,24,100
34,25,50
23,12,100
23,19,200
1,23,400
22,31,400
2,16,100
17,30,50
9,25,50
8,31,400
6,17,200
19,7,200
2,26,50
20,19,100
20,36,200
1,19,100
3,9,100
16,32,50
23,19,100
4,21,100
9,1,50
19,17,100
14,20,50
8,23,50
13,9,50
16,30,50
4,19,400
18,13,200
34,16,200
2,9,200
15,16,200
36,28,100
18,10,400
0,33,50
13,21,200
31,21,200
6,21,400
19,27,200
5,19,400
7,0,100
30,34,200
6,29,100
18,24,200
31,10,400
25,8,400
18,35,50
35,29,100
31,17,50
29,18,400
31,19,100
16,29,50
12,10,400
32,18,50
6,10,200
3,9,50
29,22,50
3,32,100
36,7,100
18,36,200
10,16,400
13,34,400
22,32,50
8,25,200
18,21,100
6,20,100
7,15,400
31,7,50
26,36,200
25,8,100
14,28,200
29,5,100
22,28,400
18,31,400
19,32,200
27,2,50
33,18,100
25,19,200
23,9,50
20,13,200
25,33,50
16,34,200
6,0,400
1,22,100
7,32,50
36,32,200
20,18,200
25,32,100
17,20,200
34,16,50
3,17,200
10,3,50
11,23,400
21,28,100
8,33,400
36,9,200
27,30,100
29,10,50
7,17,100
0,30,200
10,27,100
13,36,200
8,9,400
2,36,400
9,24,50
35,17,200
20,26,200
26,27,50
16,19,50
6,13,200
28,10,50
36,18,50
12,9,400
35,32,100
24,0,400
2,19,100
32,6,400
5,34,100
36,16,100
23,33,100
6,2,400
25,8,200
11,7,200
6,31,200
1,17,100
25,22,100
1,6,200
0,34,50
28,31,100
15,32,400
20,2,400
6,9,400
36,13,100
13,12,100
31,29,100
28,11,400
15,22,200
3,20,400
22,25,400
3,16,200
23,13,400
30,4,50
32,19,100
28,20,400
1,2,400
23,22,50
4,0,400
17,11,200
26,4,400
18,28,50
19,17,400
24,20,50
33,9,100
31,11,400
1,7,100
3,10,200
30,16,50
33,36,50
36,29,400
20,6,50
5,12,400
6,29,50
8,34,100
4,11,100
33,26,50
15,3,100
19,36,400
17,20,400
14,36,50
3,23,50
1,16,400
3,20,100
22,8,50
31,22,200
20,34,100
34,24,400
2,22,400
16,33,100
9,2,200
16,32,100
13,3,400
30,18,400
13,21,200
16,24,100
6,18,400
21,2,400
7,35,400
24,19,100
11,26,50
34,21,50
29,28,400
31,4,50
21,32,100
33,9,200
1,0,400
0,9,400
15,10,100
24,3,400
1,23,100
21,11,100
10,14,50
4,14,100
35,23,50
27,23,200
21,35,50
34,1,200
17,9,100
0,35,100
17,14,400
7,9,400
0,34,400
33,9,200
2,25,200
14,24,50
22,3,50
12,1,50
35,23,50
24,11,200
24,32,200
26,4,400
32,3,200
22,0,50
16,4,400
15,32,400
0,29,400
2,14,50
8,36,100
33,16,100
28,4,50
23,0,50
4,1,50
33,28,200
0,33,100
16,3,100
22,16,200
33,31,50
24,17,400
34,9,100
6,7,50
16,23,200
17,9,400
24,36,50
12,28,100
26,24,400
12,23,50
28,8,200
2,14,200
28,0,50
31,4,400
29,11,100
16,26,200
7,27,400
27,26,400
4,21,50
5,28,50
8,4,100
18,29,400
35,21,400
24,20,50
1,22,400
31,10,50
27,20,400
15,5,400
2,29,100
9,17,400
9,31,200
18,32,200
24,14,50
8,17,200
27,4,100
3,27,400
36,4,200
16,3,50
31,0,400
8,10,100
1,11,100
11,12,200
6,23,50
0,1,400
17,13,200
14,16,100
2,29,200
26,8,50
36,13,200
27,17,200
15,19,200
9,20,400
1,32,200
5,3,50
22,12,200
19,3,200
21,4,400
9,27,100
29,9,50
7,20,400
0,8,50
33,13,100
12,30,200
28,29,400
9,35,50
30,26,50
9,35,100
10,31,50
6,23,50
26,14,50
11,7,200
19,25,50
11,1,100
18,28,200
19,7,400
2,8,100
26,31,200
6,32,200
17,12,100
29,6,400
21,8,100
10,18,400
2,35,100
20,16,50
30,33,50
14,35,200
10,2,100
32,26,200
1,6,50
22,14,200
1,34,400
14,29,100
17,0,400
26,13,400
24,16,400
3,32,200
20,12,100
25,5,400
2,11,100
32,12,100
3,4,50
32,13,200
25,27,200
0,30,200
0,14,50
5,35,50
15,21,400
7,34,400
2,7,400
17,1,50
9,10,100
28,26,100
24,31,100
14,10,400
31,32,100
13,5,100
0,23,100
4,18,200
28,19,400
2,23,400
6,2,400
29,26,400
26,9,100
33,3,400
3,20,200
25,18,400
27,4,50
26,14,400
12,34,50
4,16,200
10,19,400
16,7,200
2,25,50
30,35,100
7,34,50
8,12,50
29,30,400
3,11,400
26,19,400
8,7,100
7,5,100
24,32,200
12,14,100
29,27,50
30,27,200
6,9,400
23,4,50
11,32,400
29,10,400
29,21,400
6,28,200
23,1,50
31,27,100
13,8,50
17,1,100
34,1,400
13,5,50
26,8,400
9,22,200
14,1,400
28,25,200
32,13,200
6,7,100
28,32,100
0,18,50
20,7,100
5,17,200
13,19,200
26,25,50
12,22,50
